goos: linux
goarch: amd64
pkg: github.com/AlexanderGrooff/ansible-jinja-go
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkLongExpressionLALR-20                                                            	  475077	      2426 ns/op	    3912 B/op	      51 allocs/op
BenchmarkLongExpressionLALR-20                                                            	  485434	      2416 ns/op	    3912 B/op	      51 allocs/op
BenchmarkJoinFilter/join_small_string_array-20                                            	 1000000	      1018 ns/op	     456 B/op	      26 allocs/op
BenchmarkJoinFilter/join_small_string_array-20                                            	 1000000	      1018 ns/op	     456 B/op	      26 allocs/op
BenchmarkJoinFilter/join_small_string_array-20                                            	 1000000	      1014 ns/op	     456 B/op	      26 allocs/op
BenchmarkJoinFilter/join_medium_string_array-20                                           	  719718	      1612 ns/op	     888 B/op	      42 allocs/op
BenchmarkJoinFilter/join_medium_string_array-20                                           	  712881	      1641 ns/op	     888 B/op	      42 allocs/op
BenchmarkJoinFilter/join_medium_string_array-20                                           	  712436	      1640 ns/op	     888 B/op	      42 allocs/op
BenchmarkJoinFilter/join_large_string_array-20                                            	  130749	      9191 ns/op	    6606 B/op	     222 allocs/op
BenchmarkJoinFilter/join_large_string_array-20                                            	  130359	      9123 ns/op	    6606 B/op	     222 allocs/op
BenchmarkJoinFilter/join_large_string_array-20                                            	  130755	      9147 ns/op	    6606 B/op	     222 allocs/op
BenchmarkJoinFilter/join_integer_array-20                                                 	  993235	      1130 ns/op	     504 B/op	      28 allocs/op
BenchmarkJoinFilter/join_integer_array-20                                                 	  999460	      1129 ns/op	     504 B/op	      28 allocs/op
BenchmarkJoinFilter/join_integer_array-20                                                 	 1000000	      1132 ns/op	     504 B/op	      28 allocs/op
BenchmarkUpperFilter-20                                                                   	 2128450	       573.2 ns/op	     272 B/op	      15 allocs/op
BenchmarkUpperFilter-20                                                                   	 2111028	       569.2 ns/op	     272 B/op	      15 allocs/op
BenchmarkUpperFilter-20                                                                   	 2100946	       572.0 ns/op	     272 B/op	      15 allocs/op
BenchmarkLowerFilter-20                                                                   	 2119918	       563.9 ns/op	     272 B/op	      15 allocs/op
BenchmarkLowerFilter-20                                                                   	 2137094	       564.1 ns/op	     272 B/op	      15 allocs/op
BenchmarkLowerFilter-20                                                                   	 2136477	       562.1 ns/op	     272 B/op	      15 allocs/op
BenchmarkCapitalizeFilter-20                                                              	 2016072	       592.9 ns/op	     296 B/op	      17 allocs/op
BenchmarkCapitalizeFilter-20                                                              	 2020344	       589.0 ns/op	     296 B/op	      17 allocs/op
BenchmarkCapitalizeFilter-20                                                              	 2036775	       591.1 ns/op	     296 B/op	      17 allocs/op
BenchmarkReplaceFilter-20                                                                 	  982710	      1138 ns/op	     512 B/op	      27 allocs/op
BenchmarkReplaceFilter-20                                                                 	 1000000	      1120 ns/op	     512 B/op	      27 allocs/op
BenchmarkReplaceFilter-20                                                                 	 1000000	      1125 ns/op	     512 B/op	      27 allocs/op
BenchmarkTrimFilter-20                                                                    	 2420870	       500.2 ns/op	     256 B/op	      14 allocs/op
BenchmarkTrimFilter-20                                                                    	 2391602	       503.7 ns/op	     256 B/op	      14 allocs/op
BenchmarkTrimFilter-20                                                                    	 2324491	       503.9 ns/op	     256 B/op	      14 allocs/op
BenchmarkListFilter-20                                                                    	 2095048	       569.7 ns/op	     376 B/op	      21 allocs/op
BenchmarkListFilter-20                                                                    	 2110011	       569.4 ns/op	     376 B/op	      21 allocs/op
BenchmarkListFilter-20                                                                    	 2093250	       570.4 ns/op	     376 B/op	      21 allocs/op
BenchmarkEscapeFilter-20                                                                  	 1962806	       609.4 ns/op	     416 B/op	      16 allocs/op
BenchmarkEscapeFilter-20                                                                  	 1970311	       616.7 ns/op	     416 B/op	      16 allocs/op
BenchmarkEscapeFilter-20                                                                  	 1979488	       608.1 ns/op	     416 B/op	      16 allocs/op
FAIL
exit status 1
FAIL	github.com/AlexanderGrooff/ansible-jinja-go	248.928s
FAIL
